,R_INH,S_INH,R_EMB,S_EMB,R_RIF,S_RIF,R_PZA,S_PZA,R_Multi,S_Multi
67,ERR2516206,ERR2199777,ERR2516257,ERR2199749,ERR2516264,ERR2199743,ERR2516230,ERR2514482,ERR2041734,ERR2199784
68,ERR2514188,ERR2199780,ERR2516349,ERR2199754,ERR2516230,ERR2199744,ERR2516207,ERR2513269,ERR2200070,ERR2512720
69,ERR2514963,ERR2199781,ERR2516166,ERR2199769,ERR2516340,ERR2199745,ERR2516316,ERR2514656,ERR2041746,ERR2512762
70,ERR2513544,ERR2199783,ERR2516286,ERR2199770,ERR2516288,ERR2199746,ERR2516307,ERR2514662,ERR2041748,ERR2512482
71,ERR2512391,ERR2199784,ERR2516175,ERR2199771,ERR2513460,ERR2199749,ERR2516262,ERR2199742,ERR2041749,ERR2513272
72,ERR2513786,ERR2199785,ERR2512456,ERR2199772,ERR2512730,ERR2199754,ERR2516335,ERR2199743,ERR2041750,ERR2514334
73,ERR2512979,ERR2512720,ERR2513241,ERR2199773,ERR2514123,ERR2199769,ERR2516311,ERR2199744,ERR2041754,ERR2513031
74,ERR2513232,ERR2512762,ERR2512691,ERR2199776,ERR2512419,ERR2199770,ERR2516338,ERR2199745,ERR2041757,ERR2513498
75,ERR2513085,ERR2512482,ERR2513441,ERR2199777,ERR2512591,ERR2199771,ERR2516288,ERR2199746,ERR2041759,ERR2514969
76,ERR2512402,ERR2513272,ERR2512878,ERR2199780,ERR2513000,ERR2199772,ERR2512746,ERR2199754,ERR2041760,ERR2513340
77,ERR2512585,ERR2514334,ERR2512440,ERR2199781,ERR2513835,ERR2199773,ERR2513608,ERR2199769,ERR2041762,ERR2514373
78,ERR2514536,ERR2513031,ERR2514267,ERR2199782,ERR2513770,ERR2199776,ERR2512676,ERR2199770,ERR2041763,ERR2513673
79,ERR2512907,ERR2513498,ERR2512596,ERR2199783,ERR2516196,ERR2199777,ERR2513460,ERR2199772,ERR2041764,ERR2514776
80,ERR2514631,ERR2514969,ERR2513295,ERR2199784,ERR2516188,ERR2199780,ERR2512730,ERR2199773,ERR2041774,ERR2513668
81,ERR2516343,ERR2513340,ERR2516313,ERR2199785,ERR2516199,ERR2041682,ERR2513564,ERR2199776,ERR2041775,ERR2512447
82,ERR2199818,ERR2514373,ERR1768629,ERR2512720,ERR2514424,ERR2199781,ERR2514982,ERR2199777,ERR2041777,ERR2513164
83,ERR2199821,ERR2513673,ERR2516281,ERR2513113,ERR2513408,ERR2199782,ERR2512647,ERR2199780,ERR2041780,ERR2513648
84,ERR2516287,ERR2514776,ERR2516308,ERR2512762,ERR2512700,ERR2199783,ERR2514008,ERR2041682,ERR2041782,ERR2515038
85,ERR2516357,ERR2513668,ERR2516345,ERR2512482,ERR2513852,ERR2199784,ERR2514948,ERR2199781,ERR2041783,ERR2515066
86,ERR2516274,ERR2514583,ERR2516245,ERR2513272,ERR2513056,ERR2199785,ERR2512675,ERR2199782,ERR2041784,ERR2513256
87,ERR2516270,ERR2512447,ERR2516336,ERR2514334,ERR2514288,ERR2516263,ERR2514955,ERR2199783,ERR2041785,ERR2514035
88,ERR2516295,ERR2512962,ERR2516351,ERR2512478,ERR2513631,ERR2516252,ERR2514483,ERR2041683,ERR2041786,ERR2513135
89,ERR2516261,ERR2513164,ERR2516203,ERR2513031,ERR2514240,ERR2512720,ERR2512419,ERR2199784,ERR2041787,ERR2513344
90,ERR2516347,ERR2513648,ERR2516239,ERR2513498,ERR2512882,ERR2513113,ERR2512591,ERR2512720,ERR1768638,ERR2513320
91,ERR2516257,ERR2515038,ERR2516213,ERR2514969,ERR2514887,ERR2512762,ERR2514979,ERR2513113,ERR2041789,ERR2514104
92,ERR2516349,ERR2515066,ERR2516264,ERR2513340,ERR2515042,ERR2512482,ERR2512718,ERR2512762,ERR2041796,ERR2514775
93,ERR2516166,ERR2513256,ERR2516178,ERR2514373,ERR2514422,ERR2513272,ERR2513835,ERR2512482,ERR2515474,ERR2514782
94,ERR2516286,ERR2514035,ERR2516230,ERR2514040,ERR2513656,ERR2514334,ERR2513607,ERR2513272,ERR2515465,ERR2512430
95,ERR2516175,ERR2513135,ERR2516316,ERR2513673,ERR2512975,ERR2512478,ERR2513194,ERR2514334,ERR2516047,ERR2513798
96,ERR2514001,ERR2513344,ERR2516340,ERR2514776,ERR2513831,ERR2513031,ERR2516196,ERR2512478,ERR2515265,ERR2514791
97,ERR2514842,ERR2513320,ERR2516338,ERR2513668,ERR2514633,ERR2513498,ERR2516243,ERR2513031,ERR2515293,ERR2515100
98,ERR2512456,ERR2514104,ERR2516288,ERR2514583,ERR2514487,ERR2514969,ERR2516188,ERR2513498,ERR2515740,ERR2514247
99,ERR2513730,ERR2514775,ERR2513608,ERR2512447,ERR2514451,ERR2513340,ERR2516199,ERR2514969,ERR2515622,ERR2514992
100,ERR2513241,ERR2514782,ERR2513460,ERR2512962,ERR2513742,ERR2514373,ERR2516220,ERR2513340,ERR2515264,ERR2512742
101,ERR2514629,ERR2512430,ERR2512730,ERR2513164,ERR2514088,ERR2514040,ERR2516214,ERR2514373,ERR2516138,ERR2514647
102,ERR2514935,ERR2513798,ERR2513564,ERR2513648,ERR2513240,ERR2513673,ERR2513408,ERR2514040,ERR2516136,ERR2514416
103,ERR2512868,ERR2514791,ERR2512930,ERR2515038,ERR2513436,ERR2514776,ERR2512700,ERR2513673,ERR2516161,ERR2514374
104,ERR2513224,ERR2515100,ERR2514123,ERR2515066,ERR2512841,ERR2513668,ERR2515016,ERR2514776,ERR2510832,ERR2513553
