,R_INH,S_INH,R_EMB,S_EMB,R_RIF,S_RIF,R_PZA,S_PZA,R_Multi,S_Multi
2159,None,ERR2513467,None,ERR2512497,None,ERR2514548,None,ERR2514263,None,ERR2514357
2160,None,ERR2514575,None,ERR2513688,None,ERR2513597,None,ERR2513782,None,ERR2513125
2161,None,ERR2514710,None,ERR2513571,None,ERR2514811,None,ERR2513704,None,ERR2513803
2162,None,ERR2512921,None,ERR2514728,None,ERR2514481,None,ERR2514045,None,ERR2513924
2163,None,ERR2512548,None,ERR2514290,None,ERR2512525,None,ERR2512667,None,ERR2512937
2164,None,ERR2514765,None,ERR2514548,None,ERR2513645,None,ERR2514502,None,ERR2513866
2165,None,ERR2513972,None,ERR2513597,None,ERR2514643,None,ERR2512964,None,ERR2515027
2166,None,ERR2514880,None,ERR2514811,None,ERR2514259,None,ERR2513413,None,ERR2513652
2167,None,ERR2512633,None,ERR2514481,None,ERR2513970,None,ERR2513121,None,ERR2513016
2168,None,ERR2515102,None,ERR2512525,None,ERR2513001,None,ERR2512590,None,ERR2514590
2169,None,ERR2514207,None,ERR2513645,None,ERR2514078,None,ERR2513240,None,ERR2512484
2170,None,ERR2512638,None,ERR2514643,None,ERR2513398,None,ERR2513995,None,ERR2514752
2171,None,ERR2514739,None,ERR2514259,None,ERR2512990,None,ERR2512826,None,ERR2514109
2172,None,ERR2514070,None,ERR2513970,None,ERR2513172,None,ERR2514228,None,ERR2514841
2173,None,ERR2513273,None,ERR2513001,None,ERR2514797,None,ERR2513573,None,ERR2513642
2174,None,ERR2514928,None,ERR2514078,None,ERR2513796,None,ERR2514941,None,ERR2514167
2175,None,ERR2513986,None,ERR2513398,None,ERR2515055,None,ERR2513440,None,ERR2515069
2176,None,ERR2514658,None,ERR2512990,None,ERR2514377,None,ERR2513971,None,ERR2512655
2177,None,ERR2513559,None,ERR2513172,None,ERR2514869,None,ERR2513412,None,ERR2514059
2178,None,ERR2513743,None,ERR2514797,None,ERR2512636,None,ERR2512577,None,ERR2513416
2179,None,ERR2514216,None,ERR2513796,None,ERR2512837,None,ERR2512897,None,ERR2514276
2180,None,ERR2513089,None,ERR2515055,None,ERR2513723,None,ERR2514793,None,ERR2513130
2181,None,ERR2514098,None,ERR2514377,None,ERR2513991,None,ERR2514303,None,ERR2513478
2182,None,ERR2514119,None,ERR2514869,None,ERR2514528,None,ERR2514851,None,ERR2513834
2183,None,ERR2513443,None,ERR2512636,None,ERR2514559,None,ERR2512877,None,ERR2512846
2184,None,ERR2512955,None,ERR2512837,None,ERR2513297,None,ERR2513746,None,ERR2514738
2185,None,ERR2512724,None,ERR2513723,None,ERR2512872,None,ERR2513092,None,ERR2512511
2186,None,ERR2514688,None,ERR2514088,None,ERR2513354,None,ERR2514885,None,ERR2512774
2187,None,ERR2514148,None,ERR2513991,None,ERR2514157,None,ERR2514580,None,ERR2514515
2188,None,ERR2512656,None,ERR2514528,None,ERR2513406,None,ERR2512735,None,ERR2512967
2189,None,ERR2513840,None,ERR2514559,None,ERR2514165,None,ERR2514744,None,ERR2512520
2190,None,ERR2514796,None,ERR2513297,None,ERR2512694,None,ERR2513588,None,ERR2513837
2191,None,ERR2513044,None,ERR2512872,None,ERR2514435,None,ERR2513318,None,ERR2514305
2192,None,ERR2512923,None,ERR2513354,None,ERR2513183,None,ERR2513539,None,ERR2514281
2193,None,ERR2512811,None,ERR2514157,None,ERR2513941,None,ERR2513270,None,ERR2513399
2194,None,ERR2514230,None,ERR2513406,None,ERR2514120,None,ERR2513744,None,ERR2515026
2195,None,ERR2512715,None,ERR2514165,None,ERR2512437,None,ERR2514623,None,ERR2514272
2196,None,ERR2514735,None,ERR2512694,None,ERR2514692,None,ERR2514343,None,ERR2514578
2197,None,ERR2512487,None,ERR2514435,None,ERR2512553,None,ERR2514345,None,ERR2512922
2198,None,ERR2515093,None,ERR2513183,None,ERR2514055,None,ERR2513430,None,ERR2514479
2199,None,ERR2514815,None,ERR2513941,None,ERR2514092,None,ERR2514923,None,ERR2514301
2200,None,ERR2512625,None,ERR2514120,None,ERR2512954,None,ERR2515032,None,ERR2514256
2201,None,ERR2512871,None,ERR2512437,None,ERR2514659,None,ERR2513593,None,ERR2514660
2202,None,ERR2514361,None,ERR2514692,None,ERR2514394,None,ERR2512657,None,ERR2513291
2203,None,ERR2514403,None,ERR2512553,None,ERR2512492,None,ERR2513590,None,ERR2513953
2204,None,ERR2514126,None,ERR2514055,None,ERR2513070,None,ERR2514234,None,ERR2514038
2205,None,ERR2514418,None,ERR2514092,None,ERR2513146,None,ERR2514183,None,ERR2512770
2206,None,ERR2512443,None,ERR2512954,None,ERR2514854,None,ERR2513633,None,ERR2513665
2207,None,ERR2513904,None,ERR2514659,None,ERR2514263,None,ERR2513848,None,ERR2513817
2208,None,ERR2513048,None,ERR2514394,None,ERR2513782,None,ERR2512858,None,ERR2515007
2209,None,ERR2514277,None,ERR2512492,None,ERR2513704,None,ERR2514366,None,ERR2514491
2210,None,ERR2514686,None,ERR2513070,None,ERR2514045,None,ERR2514217,None,ERR2514427
2211,None,ERR2514408,None,ERR2513146,None,ERR2512667,None,ERR2512991,None,ERR2514274
2212,None,ERR2514904,None,ERR2514854,None,ERR2514502,None,ERR2513155,None,ERR2513248
2213,None,ERR2512753,None,ERR2514263,None,ERR2512964,None,ERR2514310,None,ERR2514084
2214,None,ERR2514410,None,ERR2513782,None,ERR2514708,None,ERR2514455,None,ERR2513563
2215,None,ERR2514908,None,ERR2513704,None,ERR2513413,None,ERR2513576,None,ERR2512436
2216,None,ERR2513767,None,ERR2514045,None,ERR2513121,None,ERR2515082,None,ERR2512503
2217,None,ERR2514048,None,ERR2512667,None,ERR2512590,None,ERR2513830,None,ERR2514714
2218,None,ERR2512496,None,ERR2514502,None,ERR2513995,None,ERR2514881,None,ERR2513592
2219,None,ERR2512769,None,ERR2512964,None,ERR2513026,None,ERR2513345,None,ERR2515041
2220,None,ERR2513705,None,ERR2514708,None,ERR2514228,None,ERR2512558,None,ERR2513795
2221,None,ERR2513159,None,ERR2513413,None,ERR2513573,None,ERR2514552,None,ERR2514703
2222,None,ERR2512658,None,ERR2513121,None,ERR2514941,None,ERR2514788,None,ERR2513061
2223,None,ERR2512976,None,ERR2512590,None,ERR2513440,None,ERR2514116,None,ERR2512442
2224,None,ERR2514840,None,ERR2513995,None,ERR2513971,None,ERR2513137,None,ERR2514772
2225,None,ERR2513504,None,ERR2513026,None,ERR2513412,None,ERR2513989,None,ERR2514891
2226,None,ERR2513669,None,ERR2514228,None,ERR2512577,None,ERR2514306,None,ERR2513257
2227,None,ERR2512829,None,ERR2513573,None,ERR2512897,None,ERR2513467,None,ERR2515079
2228,None,ERR2512912,None,ERR2514941,None,ERR2514793,None,ERR2514575,None,ERR2513063
2229,None,ERR2513841,None,ERR2513440,None,ERR2514303,None,ERR2514710,None,ERR2513447
2230,None,ERR2514677,None,ERR2513971,None,ERR2514851,None,ERR2512921,None,ERR2513415
2231,None,ERR2514389,None,ERR2513412,None,ERR2512877,None,ERR2512548,None,ERR2514475
2232,None,ERR2514681,None,ERR2512577,None,ERR2513746,None,ERR2514765,None,ERR2514926
2233,None,ERR2512961,None,ERR2512897,None,ERR2514859,None,ERR2513972,None,ERR2512660
2234,None,ERR2514546,None,ERR2514793,None,ERR2513092,None,ERR2514880,None,ERR2512855
2235,None,ERR2512630,None,ERR2514303,None,ERR2514885,None,ERR2512633,None,ERR2513766
2236,None,ERR2513883,None,ERR2514851,None,ERR2514580,None,ERR2515102,None,ERR2513054
2237,None,ERR2513384,None,ERR2512877,None,ERR2512735,None,ERR2514207,None,ERR2514090
2238,None,ERR2514476,None,ERR2513746,None,ERR2514744,None,ERR2512638,None,ERR2512598
2239,None,ERR2514949,None,ERR2514859,None,ERR2513588,None,ERR2514739,None,ERR2514017
2240,None,ERR2514898,None,ERR2513092,None,ERR2513318,None,ERR2514070,None,ERR2513801
2241,None,ERR2514743,None,ERR2514885,None,ERR2513302,None,ERR2513273,None,ERR2512934
2242,None,ERR2512693,None,ERR2514580,None,ERR2513539,None,ERR2514928,None,ERR2515013
2243,None,ERR2513088,None,ERR2512735,None,ERR2513270,None,ERR2513986,None,ERR2512624
2244,None,ERR2513338,None,ERR2514744,None,ERR2513744,None,ERR2514658,None,ERR2512904
2245,None,ERR2514067,None,ERR2513588,None,ERR2514343,None,ERR2513559,None,ERR2513969
2246,None,ERR2512608,None,ERR2513318,None,ERR2514345,None,ERR2513743,None,ERR2514899
2247,None,ERR2514998,None,ERR2513302,None,ERR2513430,None,ERR2514216,None,ERR2514866
2248,None,ERR2513535,None,ERR2513539,None,ERR2514923,None,ERR2513089,None,ERR2513758
2249,None,ERR2513626,None,ERR2513270,None,ERR2515032,None,ERR2514098,None,ERR2513912
2250,None,ERR2514057,None,ERR2513744,None,ERR2513593,None,ERR2514119,None,ERR2514124
2251,None,ERR2514335,None,ERR2514343,None,ERR2512657,None,ERR2513443,None,ERR2513438
2252,None,ERR2513025,None,ERR2514345,None,ERR2513590,None,ERR2512955,None,ERR2513483
2253,None,ERR2513052,None,ERR2513430,None,ERR2514234,None,ERR2512724,None,ERR2514125
2254,None,ERR2515083,None,ERR2514923,None,ERR2514183,None,ERR2514148,None,ERR2513417
2255,None,ERR2513842,None,ERR2515032,None,ERR2513633,None,ERR2512656,None,ERR2514954
2256,None,ERR2514246,None,ERR2513593,None,ERR2513848,None,ERR2513840,None,ERR2512524
2257,None,ERR2513348,None,ERR2512657,None,ERR2512858,None,ERR2514796,None,ERR2513431
2258,None,ERR2514649,None,ERR2513590,None,ERR2514366,None,ERR2513044,None,ERR2513397
2259,None,ERR2514778,None,ERR2514234,None,ERR2514952,None,ERR2512811,None,ERR2512994
2260,None,ERR2514551,None,ERR2514183,None,ERR2514217,None,ERR2514006,None,ERR2514748
2261,None,ERR2512643,None,ERR2513633,None,ERR2512991,None,ERR2512715,None,ERR2514193
2262,None,ERR2512444,None,ERR2513848,None,ERR2513155,None,ERR2512487,None,ERR2513356
2263,None,ERR2513884,None,ERR2512858,None,ERR2514310,None,ERR2515093,None,ERR2513210
2264,None,ERR2513538,None,ERR2514366,None,ERR2513655,None,ERR2512625,None,ERR2512536
2265,None,ERR2513895,None,ERR2514952,None,ERR2514455,None,ERR2512871,None,ERR2513177
2266,None,ERR2512848,None,ERR2514217,None,ERR2513576,None,ERR2514361,None,ERR2513233
2267,None,ERR2514210,None,ERR2512991,None,ERR2515082,None,ERR2514403,None,ERR2512572
2268,None,ERR2512847,None,ERR2513155,None,ERR2513830,None,ERR2514126,None,ERR2513223
2269,None,ERR2513878,None,ERR2514310,None,ERR2514881,None,ERR2514418,None,ERR2514722
2270,None,ERR2512948,None,ERR2513655,None,ERR2513345,None,ERR2514354,None,ERR2512523
2271,None,ERR2513929,None,ERR2514455,None,ERR2512558,None,ERR2512443,None,ERR2514592
2272,None,ERR2514357,None,ERR2513576,None,ERR2514552,None,ERR2513904,None,ERR2513755
2273,None,ERR2513125,None,ERR2515082,None,ERR2514788,None,ERR2513048,None,ERR2512528
2274,None,ERR2513803,None,ERR2512841,None,ERR2514116,None,ERR2514277,None,ERR2515001
2275,None,ERR2513924,None,ERR2513830,None,ERR2513137,None,ERR2513663,None,ERR2513718
2276,None,ERR2512937,None,ERR2514881,None,ERR2513989,None,ERR2514686,None,ERR2514073
2277,None,ERR2513866,None,ERR2513345,None,ERR2514306,None,ERR2514408,None,ERR2514907
2278,None,ERR2515027,None,ERR2512558,None,ERR2512570,None,ERR2514904,None,ERR2513258
2279,None,ERR2513652,None,ERR2514552,None,ERR2513467,None,ERR2512753,None,ERR2513328
2280,None,ERR2513016,None,ERR2514788,None,ERR2514575,None,ERR2513343,None,ERR2513251
2281,None,ERR2514590,None,ERR2514116,None,ERR2514710,None,ERR2514410,None,ERR2513619
2282,None,ERR2512484,None,ERR2513137,None,ERR2512921,None,ERR2514908,None,ERR2513773
2283,None,ERR2514752,None,ERR2513989,None,ERR2512548,None,ERR2513767,None,ERR2514540
2284,None,ERR2514109,None,ERR2514306,None,ERR2514646,None,ERR2512541,None,ERR2514977
2285,None,ERR2514841,None,ERR2512570,None,ERR2514765,None,ERR2514048,None,ERR2512737
2286,None,ERR2512972,None,ERR2513467,None,ERR2513972,None,ERR2512496,None,ERR2513748
2287,None,ERR2513642,None,ERR2514575,None,ERR2514880,None,ERR2514822,None,ERR2514717
2288,None,ERR2514167,None,ERR2514710,None,ERR2512633,None,ERR2513705,None,ERR2514409
2289,None,ERR2515069,None,ERR2512921,None,ERR2515102,None,ERR2513159,None,ERR2513500
2290,None,ERR2512655,None,ERR2512548,None,ERR2514207,None,ERR2512658,None,ERR2514750
2291,None,ERR2514059,None,ERR2514765,None,ERR2512638,None,ERR2512976,None,ERR2512947
2292,None,ERR2513416,None,ERR2513972,None,ERR2514739,None,ERR2514840,None,ERR2514823
2293,None,ERR2514276,None,ERR2514880,None,ERR2514070,None,ERR2513504,None,ERR2513204
2294,None,ERR2513130,None,ERR2512633,None,ERR2513273,None,ERR2513669,None,ERR2512960
2295,None,ERR2513478,None,ERR2515102,None,ERR2514928,None,ERR2512829,None,ERR2512817
2296,None,ERR2513834,None,ERR2514207,None,ERR2513986,None,ERR2512912,None,ERR2513383
2297,None,ERR2512846,None,ERR2512638,None,ERR2514658,None,ERR2513841,None,ERR2513448
2298,None,ERR2514738,None,ERR2514739,None,ERR2513559,None,ERR2514677,None,ERR2513955
2299,None,ERR2512511,None,ERR2514070,None,ERR2513743,None,ERR2514389,None,ERR2513237
2300,None,ERR2512774,None,ERR2513273,None,ERR2514216,None,ERR2514681,None,ERR2514862
2301,None,ERR2514515,None,ERR2514928,None,ERR2513089,None,ERR2512961,None,ERR2514328
2302,None,ERR2512967,None,ERR2513986,None,ERR2514098,None,ERR2514546,None,ERR2512604
2303,None,ERR2512520,None,ERR2514658,None,ERR2514119,None,ERR2512630,None,ERR2513546
2304,None,ERR2513837,None,ERR2513559,None,ERR2513443,None,ERR2513883,None,ERR2515039
2305,None,ERR2514305,None,ERR2513743,None,ERR2512955,None,ERR2513384,None,ERR2513900
2306,None,ERR2514281,None,ERR2514216,None,ERR2512724,None,ERR2514476,None,ERR2512900
2307,None,ERR2513399,None,ERR2513089,None,ERR2514148,None,ERR2514949,None,ERR2513004
2308,None,ERR2515026,None,ERR2514098,None,ERR2512656,None,ERR2514898,None,ERR2513903
2309,None,ERR2514272,None,ERR2514119,None,ERR2513840,None,ERR2514743,None,ERR2514836
2310,None,ERR2514767,None,ERR2513443,None,ERR2514796,None,ERR2512693,None,ERR2514138
2311,None,ERR2514578,None,ERR2512955,None,ERR2513044,None,ERR2513088,None,ERR2513709
2312,None,ERR2512922,None,ERR2512724,None,ERR2512923,None,ERR2513338,None,ERR2512416
2313,None,ERR2514479,None,ERR2514688,None,ERR2512811,None,ERR2514067,None,ERR2514555
2314,None,ERR2514301,None,ERR2514148,None,ERR2514006,None,ERR2512608,None,ERR2512783
2315,None,ERR2514256,None,ERR2512656,None,ERR2514230,None,ERR2514998,None,ERR2514617
2316,None,ERR2514660,None,ERR2513840,None,ERR2512715,None,ERR2513535,None,ERR2513187
2317,None,ERR2513291,None,ERR2514796,None,ERR2514735,None,ERR2513626,None,ERR2512911
2318,None,ERR2513953,None,ERR2513044,None,ERR2512487,None,ERR2514057,None,ERR2514858
2319,None,ERR2514038,None,ERR2512923,None,ERR2515093,None,ERR2514335,None,ERR2513149
2320,None,ERR2512770,None,ERR2512811,None,ERR2514815,None,ERR2513025,None,ERR2515062
2321,None,ERR2513665,None,ERR2514006,None,ERR2512625,None,ERR2513052,None,ERR2515022
2322,None,ERR2513817,None,ERR2514230,None,ERR2512871,None,ERR2513999,None,ERR2515077
2323,None,ERR2515007,None,ERR2512715,None,ERR2514361,None,ERR2515083,None,ERR2513501
2324,None,ERR2514491,None,ERR2514735,None,ERR2514403,None,ERR2513842,None,ERR2512825
2325,None,ERR2514427,None,ERR2512487,None,ERR2514126,None,ERR2514246,None,ERR2513737
2326,None,ERR2514274,None,ERR2515093,None,ERR2514418,None,ERR2513348,None,ERR2514727
2327,None,ERR2513248,None,ERR2514815,None,ERR2512443,None,ERR2514649,None,ERR2512689
2328,None,ERR2514084,None,ERR2512625,None,ERR2513904,None,ERR2514778,None,ERR2513621
2329,None,ERR2514806,None,ERR2512871,None,ERR2513048,None,ERR2514551,None,ERR2512592
2330,None,ERR2513563,None,ERR2514361,None,ERR2514277,None,ERR2512643,None,ERR2513897
2331,None,ERR2512436,None,ERR2514403,None,ERR2514686,None,ERR2512444,None,ERR2512804
2332,None,ERR2512460,None,ERR2514126,None,ERR2514408,None,ERR2513884,None,ERR2514011
2333,None,ERR2512503,None,ERR2514418,None,ERR2514904,None,ERR2513538,None,ERR2513686
2334,None,ERR2514714,None,ERR2514354,None,ERR2512753,None,ERR2513895,None,ERR2512429
2335,None,ERR2513592,None,ERR2512443,None,ERR2513343,None,ERR2512848,None,ERR2513098
2336,None,ERR2515041,None,ERR2513904,None,ERR2514410,None,ERR2512847,None,ERR2514002
2337,None,ERR2513795,None,ERR2513048,None,ERR2514908,None,ERR2514142,None,ERR2512677
2338,None,ERR2514703,None,ERR2514277,None,ERR2513767,None,ERR2513878,None,ERR2514315
2339,None,ERR2513061,None,ERR2514686,None,ERR2512541,None,ERR2512948,None,ERR2513611
2340,None,ERR2512442,None,ERR2514408,None,ERR2514048,None,ERR2513929,None,ERR2512615
2341,None,ERR2514772,None,ERR2514904,None,ERR2512496,None,ERR2513961,None,ERR2512733
2342,None,ERR2514891,None,ERR2512753,None,ERR2512769,None,ERR2514357,None,ERR2514813
2343,None,ERR2513257,None,ERR2513343,None,ERR2513705,None,ERR2513125,None,ERR2513902
2344,None,ERR2515079,None,ERR2514410,None,ERR2513159,None,ERR2513803,None,ERR2514665
2345,None,ERR2513063,None,ERR2514908,None,ERR2512658,None,ERR2513924,None,ERR2514485
2346,None,ERR2513447,None,ERR2513767,None,ERR2512976,None,ERR2512937,None,ERR2513168
2347,None,ERR2513415,None,ERR2512541,None,ERR2514840,None,ERR2513866,None,ERR2514973
2348,None,ERR2514475,None,ERR2514048,None,ERR2513504,None,ERR2515027,None,ERR2512880
2349,None,ERR2514926,None,ERR2512496,None,ERR2513669,None,ERR2513652,None,ERR2513334
2350,None,ERR2512660,None,ERR2512769,None,ERR2512829,None,ERR2513016,None,ERR2514852
2351,None,ERR2512855,None,ERR2513705,None,ERR2512912,None,ERR2514590,None,ERR2514673
2352,None,ERR2513766,None,ERR2513159,None,ERR2513841,None,ERR2512484,None,ERR2515089
2353,None,ERR2513054,None,ERR2512658,None,ERR2514677,None,ERR2514752,None,ERR2514655
2354,None,ERR2514864,None,ERR2512976,None,ERR2514389,None,ERR2514109,None,ERR2512864
2355,None,ERR2514090,None,ERR2514840,None,ERR2514681,None,ERR2514841,None,ERR2514215
2356,None,ERR2512598,None,ERR2513504,None,ERR2512961,None,ERR2513642,None,ERR2514794
2357,None,ERR2514017,None,ERR2513669,None,ERR2514546,None,ERR2514167,None,ERR2514161
2358,None,ERR2513801,None,ERR2512829,None,ERR2512630,None,ERR2515069,None,ERR2513491
2359,None,ERR2514837,None,ERR2512912,None,ERR2513883,None,ERR2512655,None,ERR2513144
2360,None,ERR2512934,None,ERR2513841,None,ERR2513384,None,ERR2514059,None,ERR2514261
2361,None,ERR2515013,None,ERR2514677,None,ERR2514476,None,ERR2513416,None,ERR2513670
2362,None,ERR2512624,None,ERR2514389,None,ERR2514949,None,ERR2514276,None,ERR2513628
2363,None,ERR2512904,None,ERR2514681,None,ERR2514898,None,ERR2513130,None,ERR2514442
2364,None,ERR2513969,None,ERR2512961,None,ERR2514743,None,ERR2513478,None,ERR2513875
2365,None,ERR2514899,None,ERR2514546,None,ERR2512693,None,ERR2513834,None,ERR2514325
2366,None,ERR2514866,None,ERR2512630,None,ERR2513088,None,ERR2512846,None,ERR2513542
2367,None,ERR2513758,None,ERR2513883,None,ERR2513338,None,ERR2514738,None,ERR2513018
2368,None,ERR2513912,None,ERR2513384,None,ERR2514067,None,ERR2512511,None,ERR2513664
2369,None,ERR2514124,None,ERR2514476,None,ERR2512608,None,ERR2513332,None,ERR2513925
2370,None,ERR2512422,None,ERR2514949,None,ERR2514998,None,ERR2512774,None,ERR2512526
2371,None,ERR2513438,None,ERR2514898,None,ERR2513535,None,ERR2514515,None,ERR2513700
2372,None,ERR2514689,None,ERR2514743,None,ERR2513626,None,ERR2512967,None,ERR2512743
2373,None,ERR2513483,None,ERR2512693,None,ERR2514057,None,ERR2512520,None,ERR2513497
2374,None,ERR2514125,None,ERR2513088,None,ERR2514335,None,ERR2513837,None,ERR2512699
2375,None,ERR2513417,None,ERR2513338,None,ERR2513025,None,ERR2514305,None,ERR2513738
2376,None,ERR2514954,None,ERR2514067,None,ERR2513052,None,ERR2514281,None,ERR2514953
2377,None,ERR2512524,None,ERR2512608,None,ERR2513999,None,ERR2513399,None,ERR2513217
2378,None,ERR2513431,None,ERR2514998,None,ERR2515083,None,ERR2515026,None,ERR2512741
2379,None,ERR2513397,None,ERR2513535,None,ERR2513842,None,ERR2514272,None,ERR2513140
2380,None,ERR2512994,None,ERR2513626,None,ERR2514246,None,ERR2514578,None,ERR2514030
2381,None,ERR2514748,None,ERR2514057,None,ERR2513348,None,ERR2512922,None,ERR2514638
2382,None,ERR2514193,None,ERR2514335,None,ERR2514649,None,ERR2514479,None,ERR2513948
2383,None,ERR2513356,None,ERR2513025,None,ERR2514778,None,ERR2514301,None,ERR2512987
2384,None,ERR2514733,None,ERR2513052,None,ERR2514551,None,ERR2514256,None,ERR2512557
2385,None,ERR2513210,None,ERR2513999,None,ERR2512643,None,ERR2514660,None,ERR2512970
2386,None,ERR2512536,None,ERR2515083,None,ERR2512444,None,ERR2513291,None,ERR2514705
2387,None,ERR2513177,None,ERR2513842,None,ERR2513884,None,ERR2513953,None,ERR2514803
2388,None,ERR2513233,None,ERR2514246,None,ERR2513538,None,ERR2514038,None,ERR2514702
2389,None,ERR2512572,None,ERR2513348,None,ERR2513895,None,ERR2512770,None,ERR2513632
2390,None,ERR2513223,None,ERR2514649,None,ERR2512848,None,ERR2513665,None,ERR2513101
2391,None,ERR2514722,None,ERR2514778,None,ERR2514210,None,ERR2513950,None,ERR2514018
2392,None,ERR2512523,None,ERR2514551,None,ERR2512847,None,ERR2513817,None,ERR2514083
2393,None,ERR2514592,None,ERR2512643,None,ERR2514142,None,ERR2515007,None,ERR2515017
2394,None,ERR2513755,None,ERR2512444,None,ERR2513878,None,ERR2514491,None,ERR2513561
2395,None,ERR2512528,None,ERR2513884,None,ERR2512948,None,ERR2514427,None,ERR2513617
2396,None,ERR2515001,None,ERR2513538,None,ERR2513929,None,ERR2514274,None,ERR2512453
2397,None,ERR2513718,None,ERR2513895,None,ERR2513961,None,ERR2513248,None,ERR2514415
2398,None,ERR2512725,None,ERR2512848,None,ERR2514357,None,ERR2514084,None,ERR2514316
2399,None,ERR2514073,None,ERR2514210,None,ERR2513125,None,ERR2514557,None,ERR2514250
2400,None,ERR2514907,None,ERR2512847,None,ERR2513803,None,ERR2513563,None,ERR2512698
2401,None,ERR2514962,None,ERR2514142,None,ERR2513924,None,ERR2512436,None,ERR2512892
2402,None,ERR2513258,None,ERR2513878,None,ERR2514740,None,ERR2512503,None,ERR2514446
2403,None,ERR2513328,None,ERR2512948,None,ERR2512937,None,ERR2514714,None,ERR2513231
2404,None,ERR2512642,None,ERR2513929,None,ERR2513866,None,ERR2513592,None,ERR2514218
2405,None,ERR2513251,None,ERR2513961,None,ERR2515027,None,ERR2515041,None,ERR2513317
2406,None,ERR2513619,None,ERR2514357,None,ERR2513652,None,ERR2513795,None,ERR2513109
2407,None,ERR2513773,None,ERR2513125,None,ERR2513016,None,ERR2514703,None,ERR2513117
2408,None,ERR2514540,None,ERR2513803,None,ERR2514590,None,ERR2513061,None,ERR2514628
2409,None,ERR2514977,None,ERR2513924,None,ERR2512484,None,ERR2512442,None,ERR2513255
2410,None,ERR2512737,None,ERR2514740,None,ERR2514752,None,ERR2514772,None,ERR2514270
2411,None,ERR2513748,None,ERR2512937,None,ERR2514109,None,ERR2514891,None,ERR2513361
2412,None,ERR2514717,None,ERR2513866,None,ERR2514841,None,ERR2513257,None,ERR2512556
2413,None,ERR2514409,None,ERR2515027,None,ERR2512972,None,ERR2515079,None,ERR2514513
2414,None,ERR2513500,None,ERR2513652,None,ERR2513642,None,ERR2513063,None,ERR2513790
2415,None,ERR2514750,None,ERR2513016,None,ERR2514167,None,ERR2513447,None,ERR2513078
2416,None,ERR2512732,None,ERR2514590,None,ERR2515069,None,ERR2513415,None,ERR2512568
2417,None,ERR2512947,None,ERR2512484,None,ERR2512655,None,ERR2514475,None,ERR2512756
2418,None,ERR2514823,None,ERR2514752,None,ERR2514059,None,ERR2514926,None,ERR2513861
2419,None,ERR2513204,None,ERR2514109,None,ERR2513416,None,ERR2512660,None,ERR2512943
2420,None,ERR2512960,None,ERR2514841,None,ERR2514276,None,ERR2512855,None,ERR2512546
2421,None,ERR2513071,None,ERR2512972,None,ERR2513130,None,ERR2513766,None,ERR2513661
2422,None,ERR2514022,None,ERR2513642,None,ERR2513478,None,ERR2513054,None,ERR2512485
2423,None,ERR2512817,None,ERR2514167,None,ERR2513834,None,ERR2514075,None,ERR2514146
2424,None,ERR2513383,None,ERR2515069,None,ERR2512846,None,ERR2514090,None,ERR2513264
2425,None,ERR2513641,None,ERR2512655,None,ERR2514738,None,ERR2512598,None,ERR2514995
2426,None,ERR2513448,None,ERR2514059,None,ERR2512511,None,ERR2514017,None,ERR2512434
2427,None,ERR2513955,None,ERR2513416,None,ERR2513332,None,ERR2513801,None,ERR2514706
2428,None,ERR2513237,None,ERR2514276,None,ERR2512774,None,ERR2512934,None,ERR2513911
2429,None,ERR2514862,None,ERR2513130,None,ERR2514515,None,ERR2515013,None,ERR2512621
2430,None,ERR2514328,None,ERR2513478,None,ERR2512967,None,ERR2512624,None,ERR2513708
2431,None,ERR2512604,None,ERR2513834,None,ERR2512520,None,ERR2512904,None,ERR2513275
2432,None,ERR2513546,None,ERR2512846,None,ERR2513837,None,ERR2514137,None,ERR2513006
2433,None,ERR2515039,None,ERR2514738,None,ERR2514305,None,ERR2513969,None,ERR2513512
2434,None,ERR2513900,None,ERR2512511,None,ERR2514281,None,ERR2514899,None,ERR2514308
2435,None,ERR2512900,None,ERR2513332,None,ERR2513399,None,ERR2514866,None,ERR2514525
2436,None,ERR2513004,None,ERR2512774,None,ERR2515026,None,ERR2513758,None,ERR2514068
2437,None,ERR2513903,None,ERR2514515,None,ERR2514272,None,ERR2513912,None,ERR2512850
2438,None,ERR2514836,None,ERR2512967,None,ERR2514767,None,ERR2514124,None,ERR2514857
2439,None,ERR2514138,None,ERR2512520,None,ERR2514578,None,ERR2513438,None,ERR2513296
2440,None,ERR2513709,None,ERR2513837,None,ERR2512922,None,ERR2513483,None,ERR2513536
2441,None,ERR2512416,None,ERR2514305,None,ERR2514479,None,ERR2514125,None,ERR2514771
2442,None,ERR2514555,None,ERR2514281,None,ERR2514301,None,ERR2513417,None,ERR2513473
2443,None,ERR2512783,None,ERR2513399,None,ERR2514256,None,ERR2514954,None,ERR2514723
2444,None,ERR2514617,None,ERR2515026,None,ERR2514660,None,ERR2512524,None,ERR2514579
2445,None,ERR2513187,None,ERR2514272,None,ERR2513291,None,ERR2513431,None,ERR2513124
2446,None,ERR2512911,None,ERR2514767,None,ERR2513953,None,ERR2513397,None,ERR2514460
2447,None,ERR2514858,None,ERR2514578,None,ERR2514038,None,ERR2512994,None,ERR2512842
2448,None,ERR2513149,None,ERR2512922,None,ERR2512770,None,ERR2514748,None,ERR2514108
